"  Natural Resources Canada, Geological Survey of Canada, Geoscience Data Repository, BASIN Database"											
"Date: August 20, 2026, 5:02 pm ADT"											
											
Well Name	Basin	Subbasin	Latitude (NAD27)	Longitude (NAD27)	Northing (NAD27)	Easting (NAD27)	Latitude (NAD83)	Longitude (NAD83)	Northing (NAD83)	Easting (NAD83)	Zone (UTM)
CHINAMPAS N-37	FUNDIAN BASIN		44.94766	-66.58963	4979745	690153	44.947728	-66.589075	4979971	690191	19
CHIPPEWA G-67	SCOTIAN BASIN	ABENAKI SUBBASIN	44.60569	-58.6624	4940276	368078	44.605744	-58.661594	4940498	368146	21
CHIPPEWA L-75	SCOTIAN BASIN	ABENAKI SUBBASIN	44.57663	-58.69737	4937106	365236	44.576681	-58.696572	4937327	365303	21
CISCO B-66	SVERDRUP BASIN		77.417	-106.393312	8593567	466117	77.417849	-106.395525	8593806	466067	21
CISCO C-42	SVERDRUP BASIN		77.353583	-106.28517	8586431	468592	77.354423	-106.287347	8586669	468542	21
CISCO K-58	SVERDRUP BASIN		77.459972	-106.352468	8598338	467221	77.46082	-106.354684	8598577	467171	21
CISCO M-22	SVERDRUP BASIN		77.366778	-106.186579	8587853	471030	77.367619	-106.188754	8588091	470981	21
CITADEL H-52	SCOTIAN BASIN	SABLE SUBBASIN	44.1903	-58.87774	4894507	349931	44.190356	-58.876939	4894729	349999	21
CITNALTA I-59	SCOTIAN BASIN	SABLE SUBBASIN	44.14516	-59.62559	4891132	290001	44.145225	-59.624806	4891353	290070	21
COHASSET A-52	SCOTIAN BASIN	LAHAVE PLATFORM	43.85227	-60.62875	4857982	690592	43.852342	-60.628008	4858208	690646	20
COHASSET CP1 P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.84922	-60.62777	4857646	690680	43.849289	-60.627022	4857871	690735	20
COHASSET CP10 P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.849198	-60.627783	4857643	690679	43.849269	-60.627033	4857869	690734	20
COHASSET CP10A P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.849198	-60.627783	4857643	690679	43.849269	-60.627033	4857869	690734	20
COHASSET CP10B P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.849198	-60.627783	4857643	690679	43.849269	-60.627033	4857869	690734	20
COHASSET CP2 P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.84919	-60.62782	4857642	690676	43.849261	-60.627072	4857868	690731	20
COHASSET CP3 P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.84922	-60.62783	4857646	690675	43.849289	-60.627086	4857871	690729	20
COHASSET CP3A P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.84922	-60.62783	4857646	690675	43.849289	-60.627086	4857871	690729	20
COHASSET CP4 P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.84922	-60.62783	4857646	690675	43.849289	-60.627086	4857871	690729	20
COHASSET CP5 P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.84919	-60.62775	4857642	690682	43.849267	-60.627003	4857869	690736	20
COHASSET CP6 P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.84918	-60.6278	4857641	690678	43.849253	-60.62705	4857867	690732	20
COHASSET CP6A P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.84918	-60.6278	4857641	690678	43.849253	-60.62705	4857867	690732	20
COHASSET CP6B P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.84918	-60.6278	4857641	690678	43.849253	-60.62705	4857867	690732	20
COHASSET CP6C P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.849198	-60.627833	4857643	690675	43.849271	-60.627037	4857869	690733	20
COHASSET CP7 P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.84917	-60.62777	4857640	690680	43.849244	-60.627025	4857866	690735	20
COHASSET CP7A P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.84917	-60.62778	4857640	690680	43.849167	-60.626944	4857858	690741	20
COHASSET CP8 P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.84923	-60.62775	4857647	690682	43.849306	-60.627008	4857873	690736	20
COHASSET CP9 P-51	SCOTIAN BASIN	LAHAVE PLATFORM	43.84921	-60.62781	4857644	690677	43.849281	-60.627061	4857870	690731	20
COHASSET D-42	SCOTIAN BASIN	LAHAVE PLATFORM	43.85181	-60.62053	4857950	691254	43.851883	-60.619778	4858176	691309	20
